experiment,method,n_items,wall_time_sec,input_tokens,output_tokens,estimated_cost_usd,model_name
TF1_Duplikate,Exact_RapidFuzz,148,0.6247386932373047,0,0,0.0,rapidfuzz+url-exact (kein LLM/API)
TF1_Duplikate,Splink,148,38.62506055831909,0,0,0.0,"splink-4.0 (Fellegi-Sunter, EM, kein LLM/API)"
TF2_FehlendeWerte_price,Median_Modus,164,0.0044152736663818,0,0,0.0,"median_je_parent_category (kein Modell, kein LLM/API)"
TF2_FehlendeWerte_parent_category,Median_Modus,125,0.0036468505859375,0,0,0.0,"modus_je_thread_category (kein Modell, kein LLM/API)"
TF3_Formatierung_price,Regelbasiert,257,0.0021579265594482,0,0,0.0,"handkodierte_regex (kein Modell, kein LLM/API)"
TF3_Formatierung_saving,Regelbasiert,149,0.0019452571868896,0,0,0.0,"handkodierte_regex (kein Modell, kein LLM/API)"
TF3_Formatierung_date,Regelbasiert,885,0.1123783588409423,0,0,0.0,"handkodierte_regex (kein Modell, kein LLM/API)"
TF3_Formatierung_price,XGBoost_Parser,257,0.2566657066345215,0,0,0.0,xgboost_parser
TF3_Formatierung_saving,XGBoost_Parser,149,0.0752439498901367,0,0,0.0,xgboost_parser
TF4_Semantik,Dictionary_Fuzzy,124,0.0016376972198486,0,0,0.0,mehrheitsvotum+rapidfuzz (kein LLM/API)
TF4_Semantik,SentenceTransformers_RandomForest,124,1.6503064632415771,0,0,0.0,"all-MiniLM-L6-v2+random_forest (kein LLM/API, lokales Open-Source-Modell)"
TF1_Duplikate,Claude_LLM,148,383.6982271671295,119432,14811,0.386974,claude-sonnet-5
TF2_FehlendeWerte_price,Claude_LLM,164,511.5663866996765,42935,21281,0.29868,claude-sonnet-5
TF2_FehlendeWerte_parent_category,Claude_LLM,125,314.3838007450104,53694,11249,0.219878,claude-sonnet-5
TF3_Formatierung_price,Claude_LLM,257,488.4674155712128,68889,3510,0.172878,claude-sonnet-5
TF3_Formatierung_saving,Claude_LLM,149,285.41969108581543,61770,2692,0.1504599999999999,claude-sonnet-5
TF3_Formatierung_date,Claude_LLM,885,1731.385011434555,217144,23010,0.664388,claude-sonnet-5
TF4_Semantik,Claude_LLM,124,304.34577226638794,40361,10437,0.185092,claude-sonnet-5
TF2_FehlendeWerte_price,RandomForest_nach_MissForest_Prinzip,164,1.527198314666748,0,0,0.0,"random_forest (MissForest-Prinzip, kein LLM/API)"
TF2_FehlendeWerte_parent_category,RandomForest_nach_MissForest_Prinzip,125,0.4956846237182617,0,0,0.0,"random_forest (MissForest-Prinzip, kein LLM/API)"
Finale_Anwendung_Gesamtpipeline,Bester_Methodenmix,1326,15.940563917160034,0,0,0.0,splink+xgboost_parser+regelbasiert+randomforest_missforest_prinzip+dictionary_fuzzy
